	state	reads_raw	reads_passed_filter	clusters_total	clusters_hidepth	hetero_est	error_est	reads_consens	loci_in_assembly	species
p_001s_01	7	311517	311211	78853	10587	0.014903	0.004471	9860	688	E.soredium
p_001s_02	7	557180	556638	84557	20598	0.01652	0.004034	19245	1503	E.soredium
p_001s_02r	7	18804	18785	6315	563	0.014018	0.002403	529	44	E.soredium
p_001s_03	7	802555	801771	56519	28081	0.007529	0.001901	27326	1055	E.soredium
p_001s_04	7	84649	84573	21783	4035	0.006922	0.002041	3902	190	E.soredium
p_001s_04r	7	4472	4464	1585	131	0.003143	0.001095	129	16	E.soredium
p_001s_05	7	300839	300528	11110	5952	0.007121	0.001532	5776	3	E.soredium
p_001s_06	7	3932	3928	1219	115	0.001883	0.000881	112	15	E.soredium
p_001s_07	7	77592	77518	25183	1794	0.02511	0.004224	1567	166	E.soredium
p_001s_08	7	771303	770571	127958	30416	0.023957	0.00601	27607	1911	E.soredium
p_001s_09	7	368372	368022	44589	15562	0.013825	0.00318	14796	951	E.soredium
p_001s_10	7	368422	368056	28957	11136	0.011362	0.001986	10688	450	E.soredium
p_001s_11	7	868288	867382	62852	27375	0.012779	0.00267	26115	1126	E.soredium
p_001s_12	7	5117	5109	1134	144	0.003042	0.001125	140	3	E.soredium
p_001s_13	7	451756	451292	54714	21630	0.014317	0.003472	20549	909	E.soredium
p_001s_14	7	311274	310949	22910	11993	0.008251	0.001846	11661	596	E.soredium
p_001s_15	7	678348	677698	110034	26484	0.019841	0.005321	24296	1626	E.soredium
p_002.5s_01	7	520194	519639	89388	19380	0.019032	0.005456	17753	1413	E.soredium
p_002.5s_02	7	70293	70216	6425	2104	0.004874	0.001249	2064	180	E.soredium
p_002.5s_03	7	144232	144091	44765	4118	0.026168	0.006138	3615	421	E.soredium
p_002.5s_04	7	909213	908272	115110	33437	0.018268	0.004446	31000	2161	E.soredium
p_002.5s_05	7	631895	631225	19175	10626	0.007097	0.00119	10296	541	E.soredium
p_002.5s_07	7	822252	821416	60206	26867	0.012058	0.002718	25631	1295	E.soredium
p_002.5s_08	7	36375	36331	9047	1409	0.007439	0.001595	1368	73	E.soredium
p_002s_01	7	496665	496144	62784	20488	0.014988	0.003693	19270	1240	E.soredium
p_002s_02	7	356471	356111	32296	12037	0.011327	0.002298	11506	761	E.soredium
p_002s_03	7	446436	445936	42199	16745	0.012016	0.002724	15991	961	E.soredium
p_002s_04	7	319457	319111	28736	13539	0.004757	0.001506	13285	288	E.soredium
p_002s_05	7	995084	994055	112144	35772	0.017306	0.004328	33323	2059	E.soredium
p_002s_06	7	910932	910037	115714	33874	0.017749	0.004435	31475	2094	E.soredium
p_002s_06r	7	511937	511428	84208	21027	0.017332	0.004681	19602	1068	E.soredium
p_002s_07	7	106234	106120	9620	3999	0.006817	0.001398	3909	304	E.soredium
p_002s_08	7	1116745	1115573	158347	43716	0.021168	0.005656	40092	2428	E.soredium
p_002s_09	7	522110	521585	102089	18923	0.020632	0.00549	17279	1483	E.soredium
p_002s_10	7	289271	288956	54098	12359	0.017491	0.004572	11468	780	E.soredium
p_002s_11	7	184803	184606	49954	6256	0.022046	0.005861	5587	568	E.soredium
p_002s_12	7	929035	928082	80873	32888	0.013944	0.003372	31132	1779	E.soredium
p_002s_13	7	553668	553103	94995	20592	0.02015	0.005343	18897	1472	E.soredium
p_002s_14	7	652162	651487	102076	25343	0.019373	0.00504	23309	1536	E.soredium
