sample,long,lat
001-01,-113.30854,38.46138
001-02r,-113.30854,38.46138
001-02,-113.30854,38.46138
001-03,-113.30854,38.46138
001-04r,-113.30854,38.46138
001-04,-113.30854,38.46138
001-05,-113.30854,38.46138
001-06,-113.30854,38.4613
001-07,-113.30854,38.4613
001-08,-113.30854,38.4613
001-09,-113.30854,38.4613
001-10,-113.30842,38.46145
001-11,-113.30842,38.46145
001-12,-113.30842,38.46145
001-13,-113.30842,38.46145
001-14,-113.30842,38.46145
001-15,-113.30854,38.46138
001-16,-113.30842,38.46145
002-01rr,-113.30595,38.50147
002-01,-113.30595,38.50147
002-02,-113.30595,38.50147
002-03,-113.30595,38.50147
002-04,-113.30595,38.50147
002-05,-113.30595,38.50147
002-06r,-113.30595,38.50147
002-06,-113.30595,38.50147
002-07,-113.30568,38.50166
002-08,-113.30568,38.50166
002-09,-113.30568,38.50166
002-10,-113.30568,38.50166
002-11,-113.30568,38.50166
002-12,-113.30562,38.5019
002-13,-113.30562,38.5019
002-14,-113.30562,38.5019
002-15,-113.30562,38.5019
002-16,-113.30562,38.5019
002-17,-113.30595,38.50147
002.5-01,-113.30160309072,38.502219
002.5-02,-113.30160309072,38.502219
002.5-03,-113.30160309072,38.502219
002.5-04,-113.30160309072,38.502219
002.5-05,-113.30160309072,38.502219
002.5-06,-113.30160309072,38.502219
002.5-07,-113.30160309072,38.502219
002.5-08,-113.30160309072,38.502219
1027-01,-111.21802,37.59283
1027-02,-111.21801,37.5928
1027-03,-111.218,37.59272
1027-04,-111.21787,37.59223
1027-05,-111.21757,37.59188
1027-06,-111.21753,37.59185
1027-07,-111.21749,37.59185
1027-08,-111.21745,37.59184
1027-09,-111.21741,37.5918
1027-10,-111.21727,37.59173
1027-11,-111.21724,37.59175
1027-12,-111.2172,37.59177
1027-13,-111.21715,37.5918
1027-14,-111.21709,37.59179
1027-15,-111.21705,37.59177
1027-16,-111.21701,37.59182
1027-17,-111.21684,37.59182
1027-18,-111.21678,37.59186
1027-19,-111.2167,37.59192
1027-20,-111.21666,37.59188
004-01,-113.59848,38.791789
004-02,-113.59848,38.791789
004-03,-113.59848,38.791789
004-04,-113.59848,38.791789
004-05rr,-113.59848,38.791789
004-05,-113.59848,38.791789
004.5-01,-113.60909,38.80297
004.5-02,-113.60909,38.80297
004.5-03,-113.60909,38.80297
004.5-04,-113.60909,38.80297
004.5-05,-113.60909,38.80297
004.5-06,-113.60911,38.80294
004.5-07,-113.60911,38.80294
004.5-08,-113.60911,38.80294
004.5-09,-113.60911,38.80294
004.5-10,-113.60911,38.80294
005-01,-113.54588,38.5178
005-02,-113.54588,38.5178
005-03,-113.54588,38.5178
005-04,-113.54588,38.5178
005-05,-113.54588,38.5178
005-06,-113.54588,38.5178
005-07,-113.54588,38.5178
005-08,-113.54701,38.5168
005-09,-113.54701,38.5168
005-10,-113.54701,38.5168
005-11,-113.54444,38.518112
005-12,-113.54444,38.518112
005-13,-113.54444,38.518112
005-14,-113.54444,38.518112
005-15,-113.54444,38.518112
006-01,-113.55516,38.51657
006-02,-113.55516,38.51657
006-03,-113.55516,38.51657
006-04r2,-113.55516,38.51657
006-04,-113.55516,38.51657
006-05,-113.55516,38.51657
006-06,-113.55516,38.51657
006-07,-113.55516,38.51657
006-08,-113.55696,38.516
006-09,-113.55696,38.516
006-10,-113.55696,38.516
006-11,-113.55696,38.516
006-12,-113.55696,38.516
006-13,-113.55696,38.516
006-14,-113.55696,38.516
006-15,-113.55696,38.516
007-01,-113.59007,38.51415
007-02,-113.59007,38.51415
007-03,-113.59007,38.51415
007-04,-113.59007,38.51415
007-05,-113.59007,38.51415
007-06,-113.57935,38.50145
007-07,-113.57935,38.50145
007-08,-113.57935,38.50145
007-09,-113.57935,38.50145
007-10,-113.57935,38.50145
007-11,-113.6009,38.5269
007-12,-113.6009,38.5269
007-13,-113.6009,38.5269
007-14,-113.6009,38.5269
007-15,-113.6009,38.5269
008.5-01,-114.2271,39.1292
008.5-02,-114.2271,39.1292
008.5-03,-114.2271,39.1292
008.5-04,-114.2271,39.1292
008.5-05,-114.22723,39.129249
008.5-06,-114.22723,39.129249
008.5-07,-114.22723,39.129249
008.5-08,-114.22723,39.129249
009-01,-114.2271,39.1292
009-02,-114.2271,39.1292
009-03,-114.2271,39.1292
009-04,-114.2271,39.1292
009-05,-114.2271,39.1292
009-06,-114.22722,39.1291667
009-07,-114.22722,39.1291667
009-08,-114.22722,39.1291667
009-09,-114.22722,39.1291667
009-10,-114.22722,39.1291667
009-11,-114.227,39.129257
009-12,-114.227,39.129257
009-13r,-114.227,39.129257
009-13,-114.227,39.129257
009-14,-114.227,39.129257
009-15,-114.2271,39.129257
010-01,-114.41039,37.86122
010-02,-114.41039,37.86122
010-03,-114.41039,37.86122
010-04,-114.41039,37.86122
010-05,-114.41039,37.86122
010-06,-114.410329,37.86111
010-07,-114.410329,37.86111
010-08,-114.410329,37.86111
010-09,-114.410329,37.86111
010-10,-114.410329,37.86111
010-11,-114.41046,37.861334
010-12,-114.41046,37.861334
010-13,-114.41046,37.861334
010-14,-114.41046,37.861334
010-15,-114.41046,37.861334
011-01,-115.33704,37.48687
011-02,-115.33704,37.48687
011-03,-115.33704,37.48687
011-04,-115.33704,37.48687
011-05,-115.33704,37.48687
011-06,-115.33704,37.48687
011-07,-115.33736,37.48711
011-08,-115.33736,37.48711
011-09,-115.33736,37.48711
011-10,-115.33736,37.48711
011-11,-115.337,37.4867
011-12,-115.337,37.4867
011-13,-115.337,37.4867
011-14,-115.337,37.4867
011-15,-115.337,37.4867
012-01,-116.61138,38.21189
012-02,-116.61138,38.21189
012-03,-116.61138,38.21189
012-04,-116.61138,38.21189
012-05r,-116.61137,38.21189
012-05,-116.61138,38.21189
012-06,-116.612661,38.211031
012-07,-116.612661,38.211031
012-08,-116.612661,38.211031
012-09,-116.612661,38.211031
012-10,-116.612661,38.211031
012-11,-116.6108,38.21275
012-12,-116.6108,38.21275
012-13,-116.6108,38.21275
012-14,-116.6108,38.21275
012-15,-116.6108,38.21275
013-01r,-118.09753,37.633
013-01,-118.09753,37.633
013-02,-118.09753,37.633
013-03,-118.09753,37.633
013-04,-118.09753,37.633
013-05r,-118.09753,37.633
013-05,-118.09753,37.633
013-06,-118.097,37.6325
013-07,-118.097,37.6325
013-08,-118.097,37.6325
013-09,-118.097,37.6325
013-10,-118.097,37.6325
013-11,-118.098,37.63329
013-12,-118.098,37.63329
013-13,-118.098,37.63329
013-14,-118.098,37.63329
013-15,-118.098,37.63329
014-01,-116.36069,39.55757
014-02,-116.36069,39.55757
014-03,-116.36069,39.55757
014-04,-116.36069,39.55757
014-05,-116.36069,39.55757
014-06,-116.3605556,39.5576
014-07,-116.3605556,39.5576
014-08,-116.3605556,39.5576
014-09,-116.3605556,39.5576
014-10,-116.3605556,39.5576
014-11,-116.3609,39.5579
014-12,-116.3609,39.5579
014-13,-116.3609,39.5579
014-14,-116.3609,39.5579
014-15,-116.3609,39.5579
015-01,-115.79128,42.8996
015-02,-115.79128,42.8996
015-03,-115.79128,42.8996
015-04,-115.79128,42.8996
015-05,-115.79128,42.8996
015-06,-115.79128,42.8996
015-07,-115.79128,42.8996
015-08,-115.79128,42.8996
015-09,-115.7906,42.89862
015-10,-115.7906,42.89862
015-11,-115.7906,42.89862
015-12,-115.7906,42.89862
015-13,-115.7906,42.89862
015-14,-115.7906,42.89862
015-15r,-115.7906,42.89862
015-15,-115.7906,42.89862
016-01,-115.7911,42.89979
016-02,-115.7911,42.89979
016-03,-115.7911,42.89979
016-04,-115.7911,42.89979
016-05,-115.7911,42.89979
016-06,-115.7911,42.89979
016-07,-115.7911,42.89979
016-08,-115.7911,42.89979
016-09,-115.7914,42.9
016-10,-115.7914,42.9
016-11,-115.7914,42.9
016-12,-115.7914,42.9
016-13,-115.7914,42.9
016-14r,-115.7914,42.9
016-14,-115.7914,42.9
016-15,-115.7914,42.9
017-01,-115.87944,42.83472
017-02,-115.87944,42.83472
017-03,-115.87944,42.83472
017-04,-115.87944,42.83472
017-05,-115.87944,42.83472
017-06,-115.8794,42.83469
017-07,-115.8794,42.83469
017-08,-115.8794,42.83469
017-09,-115.8794,42.83469
017-10,-115.8794,42.83469
017-11,-115.87945,42.83474
017-12,-115.87945,42.83474
017-13,-115.87945,42.83474
017-14,-115.87945,42.83474
017-15,-115.87945,42.83474
018-01,-114.83603,41.62194
018-02,-114.83603,41.62194
018-03,-114.83603,41.62194
018-04,-114.83603,41.62194
018-05,-114.83601,41.62196
018-06,-114.83601,41.62196
018-07,-114.83601,41.62196
018-08,-114.83601,41.62196
018-09,-114.83601,41.62196
018-10,-114.83605,41.62192
018-11,-114.83605,41.62192
018-12,-114.83605,41.62192
018-13,-114.83605,41.62192
018-14,-114.83605,41.62192
018-15,-114.83605,41.62192
019-01,-112.49533,36.91429
019-02,-112.49533,36.91429
019-03,-112.49533,36.91429
019-04,-112.49533,36.91429
019-05,-112.49533,36.91429
019-06,-112.49535,36.9143
019-07,-112.49535,36.9143
019-08,-112.49535,36.9143
019-09,-112.49535,36.9143
019-10,-112.49542,36.91428
019-11,-112.49542,36.91428
019-12,-112.49542,36.91428
019-13r,-112.49542,36.91428
019-13,-112.49542,36.91428
019-14,-112.49542,36.91428
019-15,-112.49542,36.91428
020-01,-112.49629,36.9127
020-02,-112.49629,36.9127
020-03,-112.49629,36.9127
020-04,-112.49629,36.9127
020-05,-112.49629,36.9127
020-06,-112.49635,36.91261
020-07,-112.49635,36.91261
020-08,-112.49635,36.91261
020-09,-112.49635,36.91261
020-10,-112.49635,36.91261
020-11,-112.49625,36.91257
020-12,-112.49625,36.91257
020-13,-112.49625,36.91257
020-14,-112.49625,36.91257
020-15,-112.49625,36.91257
021-01,-110.44324,35.18559
021-02,-110.44324,35.18559
021-03,-110.44324,35.18559
021-04,-110.44324,35.18559
021-05,-110.44324,35.18559
021-06,-110.44305,35.18568
021-07,-110.44305,35.18568
021-08,-110.44305,35.18568
021-09,-110.44305,35.18568
021-10,-110.44305,35.18568
021-11,-110.44308,35.18577
021-12,-110.44308,35.18577
021-13,-110.44308,35.18577
021-14,-110.44308,35.18577
021-15,-110.44308,35.18577
023-01,-107.98357,36.74328
023-02,-107.98357,36.74328
023-03,-107.98357,36.74328
023-04,-107.98357,36.74328
023-05,-107.98357,36.74328
023-06,-107.98349,36.74341
023-07,-107.98349,36.74341
023-08,-107.98349,36.74341
023-09,-107.98349,36.74341
023-10,-107.98349,36.74341
023-11,-107.98354,36.74362
023-12,-107.98354,36.74362
023-13,-107.98354,36.74362
023-14,-107.98354,36.74362
023-15,-107.98354,36.74362
024-01,-109.32347,37.32826
024-02,-109.32347,37.32826
024-03,-109.32347,37.32826
024-04r,-109.32347,37.32826
024-04,-109.32347,37.32826
024-05,-109.32347,37.32826
024-06,-109.32333,37.32824
024-07,-109.32333,37.32824
024-08,-109.32333,37.32824
024-09,-109.32333,37.32824
024-10,-109.32333,37.32824
024-11,-109.32342,37.32833
024-12,-109.32342,37.32833
024-13,-109.32342,37.32833
024-14,-109.32342,37.32833
024-15,-109.32342,37.32833
025-01,-108.47016,38.95749
025-02,-108.47016,38.95749
025-03,-108.47016,38.95749
025-04,-108.47016,38.95749
025-05,-108.47016,38.95749
025-06,-108.47052,38.95732
025-07,-108.47052,38.95732
025-08,-108.47052,38.95732
025-09,-108.47052,38.95732
025-10,-108.47052,38.95732
025-11,-108.47028,38.95721
025-12,-108.47028,38.95721
025-13,-108.47028,38.95721
025-14,-108.47028,38.95721
025-15,-108.47028,38.95721
026-01,-110.43112,38.92144
026-02,-110.43112,38.92144
026-03,-110.43112,38.92144
026-04,-110.43112,38.92144
026-05,-110.43112,38.92144
026-06,-110.43137,38.92162
026-07,-110.43137,38.92162
026-08,-110.43137,38.92162
026-09,-110.43137,38.92162
026-10,-110.43137,38.92162
026-11,-110.4312,38.92167
026-12,-110.4312,38.92167
026-13,-110.4312,38.92167
026-14,-110.4312,38.92167
026-15,-110.4312,38.92167
027-01,-110.42107,39.41879
027-02,-110.42107,39.41879
027-03,-110.42107,39.41879
027-04,-110.42107,39.41879
027-05,-110.42107,39.41879
027-06r,-110.4209,39.41887
027-06,-110.4209,39.41887
027-07,-110.4209,39.41887
027-08,-110.4209,39.41887
027-09,-110.4209,39.41887
027-10,-110.4209,39.41887
027-11,-110.42103,39.41901
027-12,-110.42103,39.41901
027-13,-110.42103,39.41901
027-14,-110.42103,39.41901
027-15,-110.42103,39.41901
029-01,-113.30997,38.4623
029-02,-113.30997,38.4623
029-03,-113.30997,38.4623
029-04,-113.30997,38.4623
029-05,-113.30997,38.4623
029-06,-113.30997,38.4623
029-07,-113.30997,38.4623
029-08,-113.30997,38.4623
029-09,-113.30997,38.4623
029-10,-113.30997,38.4623
029-11,-113.30997,38.4623
030-01,-108.71775,40.85259
030-02,-108.71775,40.85259
030-03,-108.71775,40.85259
030-04,-108.71775,40.85259
030-05,-108.71775,40.85259
030-06,-108.71754,40.85256
030-07,-108.71754,40.85256
030-08,-108.71754,40.85256
030-09,-108.71754,40.85256
030-10,-108.71754,40.85256
030-11r,-108.71759,40.85269
030-11,-108.71759,40.85269
030-12,-108.71759,40.85269
030-13,-108.71759,40.85269
030-14,-108.71759,40.85269
030-15,-108.71759,40.85269
031-01,-113.3027,38.50271
031-02,-113.3027,38.50271
031-03,-113.3027,38.50271
031-04,-113.3027,38.50271
031-05,-113.3027,38.50271
031-06,-113.3027,38.50271
031-07,-113.3027,38.50271
031-08,-113.3027,38.50271
031-09,-113.3027,38.50271
031-10,-113.3027,38.50271
031-11,-113.3027,38.50271
031-12,-113.3027,38.50271
031-13,-113.3027,38.50271
031-14,-113.3027,38.50271
031-15,-113.3027,38.50271
032-01,-109.69024,40.30714
032-02,-109.69024,40.30714
032-03,-109.69024,40.30714
032-04,-109.69035,40.30732
032-05,-109.69035,40.30732
032-06,-109.69035,40.30732
032-07,-109.69035,40.30732
032-08,-109.69059,40.30723
