Well	Sample
1A1	p_001s_01
1A2	p_002s_14
1A3	p_031s_11
1A4	p_002s_15
1A5	p_016s_04
1A6	p_030s_11
1A7	p_011s_11
1A8	p_011s_14
1A9	p_002s_08
1A10	p_012s_12
1A11	p_1027s_12r
1A12	p_016s_15
1B1	p_001s_02
1B2	p_002s_05
1B3	p_027s_01
1B4	p_002.5s_01
1B5	p_026s_12r
1B6	p_016s_03
1B8	p_002s_10
1B9	p_002.5s_04
1B10	p_002s_09
1B11	p_009s_15
1C1	p_001s_03
1C2	p_002s_04
1C3	p_029s_10
1C4	p_002s_06
1C5	p_017s_03
1C6	p_017s_05
1C7	p_002s_13
1C8	p_009s_13
1C9	p_1027s_06
1C10	p_002.5s_03
1C11	p_016s_15
1C12	p_017s_10
1D1	p_001s_04
1D2	p_002s_16
1D3	p_027s_03
1D4	p_002s_11
1D5	p_015s_14
1D6	p_016s_01
1D7	p_1027s_20
1D8	p_002s_01
1D9	p_013s_01
1D10	p_008.5s_04
1D11	p_013s_02
1D12	p_015s_15
1E1	p_006s_01
1E2	p_026s_12
1E3	p_006s_14
1E4	p_1027s_18
1E5	p_1027s_14
1E6	p_002.5s_08
1E7	p_002.5s_02
1E8	p_002.5s_05
1E9	p_002s_02
1E10	p_011s_10
1E11	p_010s_02
1E12	p_016s_05
1F1	p_006s_02
1F2	p_027s_06
1F3	p_005s_11
1F4	p_1027s_04
1F5	p_027s_05
1F6	p_002s_12
1F7	p_007s_02
1F8	p_002s_03
1F9	p_002.5s_07
1F10	p_013s_13
1F11	p_017s_01
1F12	p_007s_14
1G1	p_006s_03
1G3	p_006s_06
1G4	p_016s_06
1G5	p_030s_10
1G6	p_005s_06
1G7	p_026s_14r
1G8	p_1027s_12
1G9	p_002s_07
1G10	p_011s_08
1G11	p_009s_01
1G12	p_008.5s_07
1H1	p_006s_04
1H2	p_026s_14
1H3	p_005s_09
1H4	p_015s_13
1H5	p_1027s_11
1H6	p_004.5s_05
1H7	p_010s_14
1H8	p_013s_08
1H9	p_030s_10
1H10	p_012s_05
1H11	p_016s_02
1H12	p_012s_06
2A1	p_012s_07
2A2	p_009s_05
2A3	p_010s_11
2A4	p_020s_14
2A5	p_013s_05
2A6	p_024s_14
2A7	p_019s_14
2A8	p_025s_10
2A9	p_027s_06r
2A10	p_017s_02
2A11	p_001s_15
2A12	p_009s_12
2B1	p_008.5s_06
2B2	p_012s_03
2B3	p_012s_15
2B4	p_011s_02
2B5	p_010s_03
2B6	p_025s_05
2B7	p_007s_03
2B8	p_023s_15
2B9	p_025s_04
2B10	p_018s_06
2B11	p_023s_10
2C1	p_007s_11
2C3	p_020s_05
2C4	p_020s_02
2C5	p_1027s_13
2C7	p_002s_06r
2C8	p_019s_15
2C9	p_023s_03
2C10	p_023s_14
2C11	p_021s_12
2C12	p_013s_05r
2D1	p_009s_14
2D2	p_012s_09
2D4	p_019s_13
2D5	p_011s_01
2D6	p_025s_06
2D7	p_010s_09
2D8	p_012s_10
2D9	p_024s_06
2D10	p_025s_08
2D11	p_1027s_03
2D12	p_007s_05
2E1	p_1027s_02
2E3	p_1027s_09
2E4	p_020s_04
2E6	p_023s_11
2E7	p_025s_02
2E8	p_023s_13
2E9	p_017s_08
2E10	p_030s_11r
2E11	p_024s_09
2F1	p_016s_14
2F3	p_007s_12
2F4	p_007s_13
2F5	p_001s_10
2F6	p_024s_15
2F7	p_019s_08
2F8	p_010s_13
2F9	p_015s_03
2F10	p_015s_06
2F11	p_024s_12
2G1	p_017s_04
2G2	p_008.5s_08
2G3	p_011s_09
2G5	p_013s_01r
2G6	p_020s_03
2G7	p_010s_01
2G8	p_002s_10
2G9	p_018s_04
2G10	p_023s_08
2G11	p_013s_07
2H1	p_009s_06
2H2	p_021s_08
2H4	p_010s_15
2H5	p_001s_11
2H6	p_012s_04
2H7	p_013s_09
2H8	p_025s_07
2H9	p_025s_01
2H10	p_025s_11
2H11	p_020s_07
3A1	p_015s_09
3A2	p_024s_08
3A3	p_023s_05
3A4	p_017s_15
3A5	p_006s_09
3A6	p_006s_11
3A7	p_009s_13r
3A8	p_006s_15
3A9	p_031s_05
3A10	p_032s_15
3A11	p_016s_14r
3A12	p_031s_10
3B1	p_016s_08
3B2	p_019s_13r
3B3	p_024s_04r
3B4	p_023s_02
3B6	p_005s_13
3B7	p_001s_07
3B8	p_024s_02
3B9	p_026s_06
3B10	p_026s_06
3B11	p_029s_03
3B12	p_026s_11
3C1	p_015s_12
3C2	p_023s_07
3C3	p_025s_15
3C4	p_024s_10
3C6	p_006s_05
3C7	p_006s_07
3C8	p_029s_06
3C9	p_031s_12
3C10	p_031s_08
3C11	p_032s_03
3C12	p_027s_12
3D1	p_1027s_19
3D2	p_015s_04
3D3	p_001s_06
3D4	p_004s_02
3D6	p_001s_02r
3D7	p_005s_14
3D8	p_031s_02
3D9	p_030s_08
3D10	p_021s_11
3D11	p_031s_07
3D12	p_001s_08
3E1	p_023s_12
3E2	p_1027s_16
3E3	p_001s_09
3E4	p_006s_08
3E5	p_006s_13
3E6	p_001s_12
3E7	p_004.5s_06
3E8	p_026s_09
3E9	p_029s_01
3E10	p_032s_09
3E11	p_015s_15r
3E12	p_030s_12
3F1	p_025s_12
3F2	p_024s_04
3F3	p_023s_04
3F5	p_001s_14
3F6	p_001s_04r
3F7	p_015s_05
3F8	p_031s_09
3F9	p_031s_06
3F10	p_027s_07
3F11	p_032s_08
3F12	p_032s_02
3G1	p_025s_09
3G2	p_023s_09
3G3	p_001s_13
3G4	p_005s_03
3G5	p_004.5s_13
3G6	p_024s_13
3G7	p_005s_05
3G8	p_030s_14
3G9	p_029s_07
3G10	p_026s_07
3G11	p_027s_02
3G12	p_007s_12
3H1	p_024s_07
3H2	p_025s_14
3H3	p_001s_05
3H4	p_012s_05r
3H5	p_005s_12
3H7	p_023s_01
3H8	p_029s_08
3H9	p_027s_15
3H10	p_026s_10
3H11	p_032s_01
3H12	p_031s_03
