Well,Sample
A01_p1,p_001s_01
B01_p1,p_001s_02
C01_p1,p_001s_03
D01_p1,p_001s_04
E01_p1,p_006s_01
F01_p1,p_006s_02
G01_p1,p_006s_03
H01_p1,p_006s_04
A02_p1,p_002s_14
B02_p1,p_002s_05
C02_p1,p_002s_04
D02_p1,p_002s_16
E02_p1,p_026s_12
F02_p1,p_027s_06
G02_p1,p_028s_13
H02_p1,p_026s_14
A03_p1,p_031s_11
B03_p1,p_027s_01
C03_p1,p_029s_10
D03_p1,p_027s_03
E03_p1,p_006s_14
F03_p1,p_005s_11
G03_p1,p_006s_06
H03_p1,p_005s_09
A04_p1,p_002s_15
B04_p1,p_002.5s_01
C04_p1,p_002s_06
D04_p1,p_002s_11
E04_p1,p_1027s_18
F04_p1,p_1027s_04
G04_p1,p_016s_06
H04_p1,p_015s_13
A05_p1,p_016s_04
B05_p1,p_026s_12r
C05_p1,p_017s_03
D05_p1,p_015s_14
E05_p1,p_1027s_14
F05_p1,p_027s_05
G05_p1,p_030s_10
H05_p1,p_1027s_11
A06_p1,p_030s_11
B06_p1,p_016s_03
C06_p1,p_017s_05
D06_p1,p_016s_01
E06_p1,p_002.5s_08
F06_p1,p_002s_12
G06_p1,p_005s_06
H06_p1,p_004.5s_05
A07_p1,p_011s_11
B07_p1,p_008s_06
C07_p1,p_002s_13
D07_p1,p_1027s_20
E07_p1,p_002.5s_02
F07_p1,p_007s_02
G07_p1,p_026s_14r
H07_p1,p_010s_14
A08_p1,p_011s_14
B08_p1,p_002s_10
C08_p1,p_009s_13
D08_p1,p_002s_01
E08_p1,p_002.5s_05
F08_p1,p_002s_03
G08_p1,p_1027s_12
H08_p1,p_013s_08
A09_p1,p_002s_08
B09_p1,p_002.5s_04
C09_p1,p_1027s_06
D09_p1,p_013s_01
E09_p1,p_002s_02
F09_p1,p_002.5s_07
G09_p1,p_002s_07
H09_p1,p_030s_10
A10_p1,p_012s_12
B10_p1,p_002s_09
C10_p1,p_002.5s_03
D10_p1,p_008.5s_04
E10_p1,p_011s_10
F10_p1,p_013s_13
G10_p1,p_011s_08
H10_p1,p_012s_05
A11_p1,p_1027s_12r
B11_p1,p_009s_15
C11_p1,p_016s_15
D11_p1,p_013s_02
E11_p1,p_010s_02
F11_p1,p_017s_01
G11_p1,p_009s_01
H11_p1,p_016s_02
A12_p1,p_016s_15
B12_p1,p_008s_04
C12_p1,p_017s_10
D12_p1,p_015s_15
E12_p1,p_016s_05
F12_p1,p_007s_14
G12_p1,p_008.5s_07
H12_p1,p_012s_06
A01_p2,p_012s_07
B01_p2,p_008.5s_06
C01_p2,p_007s_11
D01_p2,p_009s_14
E01_p2,p_1027s_02
F01_p2,p_016s_14
G01_p2,p_017s_04
H01_p2,p_009s_06
A02_p2,p_009s_05
B02_p2,p_012s_3
C02_p2,p_022s_01
D02_p2,p_012s_09
E02_p2,p_008s_03
F02_p2,p_022s_03
G02_p2,p_008.5s_08
H02_p2,p_021s_08
A03_p2,p_010s_11
B03_p2,p_012s_15
C03_p2,p_020s_05
D03_p2,Na
E03_p2,p_1027s_09
F03_p2,p_007s_12
G03_p2,p_011s_09
H03_p2,p_022s_04
A04_p2,p_020s_14
B04_p2,p_011s_02
C04_p2,p_020s_02
D04_p2,p_019s_13
E04_p2,p_020s_04
F04_p2,p_007s_13
G04_p2,p_022s_15
H04_p2,p_010s_15
A05_p2,p_013s_05
B05_p2,p_010s_03
C05_p2,p_1027s_13
D05_p2,p_011s_01
E05_p2,p_022s_08
F05_p2,p_001s_10
G05_p2,p_013s_01r
H05_p2,p_001s_11
A06_p2,p_024s_14
B06_p2,p_025s_05
C06_p2,p_022s_12
D06_p2,p_025s_06
E06_p2,p_023s_11
F06_p2,p_024s_15
G06_p2,p_020s_03
H06_p2,p_012s_04
A07_p2,p_019s_14
B07_p2,p_007s_03
C07_p2,p_002s_06r
D07_p2,p_010s_09
E07_p2,p_025s_02
F07_p2,p_019s_08
G07_p2,p_010s_01
H07_p2,p_013s_09
A08_p2,p_025s_10
B08_p2,p_023s_15
C08_p2,p_019s_15
D08_p2,p_012s_10
E08_p2,p_023s_13
F08_p2,p_010s_13
G08_p2,p_002s_10
H08_p2,p_025s_07
A09_p2,p_027s_06r
B09_p2,p_025s_04
C09_p2,p_023s_03
D09_p2,p_024s_06
E09_p2,p_017s_08
F09_p2,p_015s_03
G09_p2,p_018s_04
H09_p2,p_025s_01
A10_p2,p_017s_02
B10_p2,p_018s_06
C10_p2,p_023s_14
D10_p2,p_025s_08
E10_p2,p_030s_11r
F10_p2,p_015s_06
G10_p2,p_023s_08
H10_p2,p_025s_11
A11_p2,p_001s_15
B11_p2,p_023s_10
C11_p2,p_021s_12
D11_p2,p_1027s_03
E11_p2,p_024s_09
F11_p2,p_024s_12
G11_p2,p_013s_07
H11_p2,p_020s_07
A12_p2,p_009s_12
B12_p2,p_022s_06
C12_p2,p_013s_05r
D12_p2,p_007s_05
E12_p2,p_MS s_A
F12_p2,p_MS s_B
G12_p2,p_MS s_C
H12_p2,p_MS s_D
A01_p3,p_015s_09
B01_p3,p_016s_08
C01_p3,p_015s_12
D01_p3,p_1027s_19
E01_p3,p_023s_12
F01_p3,p_025s_12
G01_p3,p_025s_09
H01_p3,p_024s_07
A02_p3,p_024s_08
B02_p3,p_019s_13r
C02_p3,p_023s_07
D02_p3,p_015s_04
E02_p3,p_1027s_16
F02_p3,p_024s_04
G02_p3,p_023s_09
H02_p3,p_025s_14
A03_p3,p_023s_05
B03_p3,p_024s_04r
C03_p3,p_025s_15
D03_p3,p_001s_06
E03_p3,p_001s_09
F03_p3,p_023s_04
G03_p3,p_001s_13
H03_p3,p_001s_05
A04_p3,p_017s_15
B04_p3,p_023s_02
C04_p3,p_024s_10
D04_p3,p_004s_02
E04_p3,p_006s_08
F04_p3,p_003s_14
G04_p3,p_005s_03
H04_p3,p_012s_05r
A05_p3,p_006s_09
B05_p3,p_003s_12
C05_p3,p_003s_06
D05_p3,p_003s_10
E05_p3,p_006s_13
F05_p3,p_001s_14
G05_p3,p_004.5s_13
H05_p3,p_005s_12
A06_p3,p_006s_11
B06_p3,p_005s_13
C06_p3,p_006s_05
D06_p3,p_001s_02r
E06_p3,p_001s_12
F06_p3,p_001s_04r
G06_p3,p_024s_13
H06_p3,p_003s_05
A07_p3,p_009s_13r
B07_p3,p_001s_07
C07_p3,p_006s_07
D07_p3,p_005s_14
E07_p3,p_004.5s_06
F07_p3,p_015s_05
G07_p3,p_005s_05
H07_p3,p_023s_01
A08_p3,p_006s_15
B08_p3,p_024s_02
C08_p3,p_029s_06
D08_p3,p_031s_02
E08_p3,p_026s_09
F08_p3,p_031s_09
G08_p3,p_030s_14
H08_p3,p_029s_08
A09_p3,p_031s_05
B09_p3,p_026s_06
C09_p3,p_031s_12
D09_p3,p_030s_08
E09_p3,p_029s_01
F09_p3,p_031s_06
G09_p3,p_029s_07
H09_p3,p_027s_15
A10_p3,p_032s_15
B10_p3,p_026s_06
C10_p3,p_031s_08
D10p_3,p_021s_11
E10p_3,p_032s_09
F10p_3,p_027s_07
G10p_3,p_026s_07
H10p_3,p_026s_10
A11p_3,p_016s_14r
B11p_3,p_029s_03
C11p_3,p_032s_03
D11p_3,p_031s_07
E11p_3,p_015s_15r
F11p_3,p_032s_08
G11p_3,p_027s_02
H11p_3,p_032s_01
A12p_3,p_031s_10
B12p_3,p_026s_11
C12p_3,p_027s_12
D12p_3,p_001s_08
E12p_3,p_030s_12
F12p_3,p_032s_02
G12p_3,p_007s_12
H12p_3,p_031s_03
