              state  reads_raw  reads_passed_filter  clusters_total  clusters_hidepth  hetero_est  error_est  reads_consens  loci_in_assembly
p_004.5s_011      7    1525144              1503542          236643             62529    0.019596   0.004518          60680             23235
p_004.5s_05       7    2806691              2779028          274106            112587    0.016290   0.003265         110276             44325
p_004.5s_07       7    1355054              1334793          212643             63359    0.018706   0.004359          61778             24711
p_004.5s_08       7    1999549              1970989          250885             95513    0.018221   0.004096          93350             38283
p_004.5s_12       7    1778074              1752884          235526             80180    0.018312   0.003966          78294             32291
p_004.5s_15       7    1178266              1162561          205616             47691    0.020573   0.004888          46128             16508
p_004s_04         7    1120244              1105604          172011             52830    0.016651   0.004023          51522             19934
p_005s_02         7     941601               927152          189200             37133    0.020036   0.005150          35795             12557
p_005s_04         7    1759818              1734785          209536             78113    0.015908   0.003352          76466             30323
p_005s_06         7     572978               571309           64182             23228    0.008927   0.001981          22907              8517
p_005s_07         7    2895403              2857988          272553            135018    0.016167   0.003533         132636             56587
p_005s_11         7     718201               715701          110593             29934    0.013177   0.003153          29228             10478
p_006s_01         7     579013               577531           75822             22186    0.010378   0.002069          21772              7783
p_006s_04         7     743092               732010          161166             26524    0.021125   0.005172          25401              8300
p_006s_06         7     954250               951722          129342             35583    0.013643   0.003099          34667             12760
p_006s_10         7    1554967              1535399          182422             71103    0.014997   0.003161          69848             32413
p_006s_12         7    1779996              1749025          227616             81900    0.017332   0.004147          80130             32433
p_006s_14         7    1011870              1008834          129572             35539    0.013827   0.002886          34651             12724
p_007s_01         7     957863               946676          177152             38435    0.019201   0.004554          37146             13322
p_007s_02         7    2004219              1983490          231410             88568    0.017027   0.003652          86604             35083
p_007s_04         7     821710               811132          148842             30549    0.014962   0.003573          29757             12068
p_007s_06         7    1415743              1392291          208361             56912    0.018883   0.003967          55400             22113
p_007s_07         7    4273167              4207678          264232            142717    0.013402   0.002508         140762             63643
p_007s_09         7    2331329              2302948          280976            108676    0.017597   0.003848         106324             43139
p_008.5s_02       7    2707720              2676682          180418             97383    0.011915   0.002445          96071             43216
p_009s_01         7    1821216              1800997          289557             68633    0.024431   0.005443          65641             22721
p_009s_09         7    1379637              1357757          207228             56692    0.018436   0.003842          55281             20802
p_009s_12         7    1307277              1293890          261325             46750    0.025465   0.006425          44290             13824
p_009s_13         7     666182               664349          119220             28007    0.015716   0.003417          27072              8817
p_009s_14         7    2531242              2499543          307167            106220    0.021893   0.004523         103069             39090
p_009s_15         7    1043281              1040569          174697             40656    0.018203   0.003966          39177             13118
p_010s_02         7    2914305              2883921          252381            126400    0.014685   0.003220         124237             52453
p_010s_06         7    2584034              2543657          221907            113365    0.013705   0.002923         111661             46978
p_010s_11         7     697572               689688          146838             27439    0.016941   0.004895          26444              8956
p_011s_06         7    2488605              2461537          265089             98412    0.016876   0.003501          96415             41520
p_011s_08         7     801499               799079           92923             30343    0.010784   0.002232          29776             10536
p_011s_10         7    1149577              1146681           84523             35576    0.008977   0.001736          35078             12655
p_011s_11         7     717358               715471          169046             25165    0.020143   0.004979          23884              7375
p_012s_01         7    1910235              1886271          272024             85327    0.017581   0.003984          83332             31347
p_012s_06         7     557076               554860           66628             22285    0.009179   0.002003          21928              7602
p_012s_08         7    1873109              1850813          218936             85137    0.016040   0.003411          83407             31785
