             state  reads_raw  reads_passed_filter  clusters_total  clusters_hidepth  hetero_est  error_est  reads_consens  loci_in_assembly
p_001s_02        7    1281934              1271733          171594             49503    0.013002   0.002924          48451             27670
p_001s_03        7     802555               800084           60188             28668    0.004811   0.001255          28473             11972
p_001s_09        7    1604877              1582493          126036             70309    0.009367   0.002387          69593             40012
p_001s_12        7    1793649              1770153          164816             78233    0.011329   0.002842          77193             45064
p_001s_13        7     652357               645689          123196             26509    0.014301   0.003533          25856             13127
p_001s_14        7    1333237              1317583          165745             57626    0.013033   0.003350          56476             33132
p_001s_16        7    1303110              1284503          194316             45776    0.018539   0.003656          44482             15787
p_002.5s_01      7    3103831              3076684          242346            103912    0.011610   0.002771         102104             61713
p_002.5s_04      7     909213               907652          124674             34486    0.012141   0.002765          33637             20164
p_002.5s_05      7    2477624              2451498          222600             99226    0.014245   0.002936          97707             62321
p_002.5s_07      7     822252               820014           65034             27822    0.007669   0.001653          27500             16007
p_002.5s_09      7    1291914              1274472          137610             56857    0.010614   0.002896          55974             31362
p_002.5s_10      7    2051453              2022384          243536             89835    0.017119   0.003742          87852             34665
p_002s_01        7     496665               495404           67599             21223    0.009616   0.002197          20854             11828
p_002s_03        7    1777736              1764992          160574             69691    0.011123   0.002491          68718             42244
p_002s_05        7     995084               991600          121950             37075    0.011533   0.002638          36260             21357
p_002s_06        7     910932               907574          125798             34687    0.012001   0.002824          33864             20728
p_002s_08        7    1116745              1114478          172300             45297    0.014369   0.003529          43966             26158
p_002s_09        7     522110               521061          109781             19206    0.014043   0.003392          18581             10478
p_002s_10        7     737351               728725          116459             32318    0.013057   0.003341          31626             17695
p_002s_12        7     929035               926118           87969             34138    0.009098   0.002074          33594             19948
p_002s_13        7     553668               552326          102508             20972    0.013646   0.003286          20303             11498
p_002s_14        7     652162               649162          110866             25703    0.012782   0.003051          25054             14377
p_002s_16        7    1099951              1096303          113510             39338    0.010272   0.002421          38574             22860
p_029s_02        7    2580432              2547860          148140             93640    0.007946   0.001920          92923             51015
p_029s_03        7    1603404              1580362          193331             70196    0.014843   0.003405          68824             28347
p_029s_04        7    1072978              1056038          197705             40392    0.020467   0.005015          38870             15443
p_029s_05        7    1947360              1921545          233770             87567    0.016008   0.003694          85744             32602
p_029s_09        7    1978998              1956250          210901             86486    0.015096   0.003187          84845             34858
p_029s_10        7     711638               708981          135709             28637    0.011306   0.002985          27921             13101
p_031s_02        7     914368               898863          139239             40880    0.013536   0.003544          40118             23121
p_031s_04        7    2781958              2742266          253787            126686    0.014939   0.003396         124597             46911
p_031s_05        7    2691778              2661769          216101            112157    0.011860   0.002706         110702             69586
p_031s_07        7    1490792              1457590          207609             65393    0.016778   0.004243          63887             25641
p_031s_08        7    2152908              2115859          197186             86163    0.012273   0.002950          84818             51757
p_031s_11        7    1311496              1305925          136458             48869    0.010593   0.002350          48063             27771
p_031s_14        7    2693760              2661944          251818            125207    0.015112   0.003313         123072             46862
