Sample,Soredium,Shockleyi,Sequencing Run,Initial 
p_001s_02,0.9960,0.0040,1,soredium
p_001s_02r,0.9965,0.0035,2,soredium
p_001s_03,0.9948,0.0052,1,soredium
p_001s_09,0.8512,0.1487,2,soredium
p_001s_12,0.7357,0.2643,2,soredium
p_001s_13,0.9924,0.0077,2,soredium
p_001s_14,0.9973,0.0027,2,soredium
p_001s_16,0.1011,0.8989,2,soredium
p_002.5s_01,0.9950,0.0051,1,soredium
p_002.5s_01rr,0.9820,0.0180,2,soredium
p_002.5s_04,0.9973,0.0027,1,soredium
p_002.5s_05,0.9946,0.0054,2,soredium
p_002.5s_07,0.9861,0.0139,1,soredium
p_002.5s_09,0.9667,0.0333,2,soredium
p_002.5s_10,0.0936,0.9064,2,soredium
p_002s_01,0.9966,0.0034,1,soredium
p_002s_03,0.9954,0.0046,1,soredium
p_002s_05,0.9967,0.0033,1,soredium
p_002s_06,0.9896,0.0104,1,soredium
p_002s_08,0.9956,0.0044,1,soredium
p_002s_09,0.9946,0.0054,1,soredium
p_002s_10,0.9965,0.0035,2,soredium
p_002s_12,0.9968,0.0032,1,soredium
p_002s_13,0.9972,0.0028,1,soredium
p_002s_14,0.9972,0.0028,1,soredium
p_002s_16,0.9959,0.0041,1,soredium
p_004.5s_11,0.1493,0.8506,2,shockleyi
p_004.5s_05,0.2047,0.7953,1,shockleyi
p_004.5s_05rr,0.2051,0.7949,2,shockleyi
p_004.5s_07,0.1163,0.8837,2,shockleyi
p_004.5s_08,0.1464,0.8536,2,shockleyi
p_004.5s_12,0.1498,0.8502,2,shockleyi
p_004.5s_15,0.1521,0.8478,2,shockleyi
p_004s_04,0.2057,0.7943,2,shockleyi
p_005s_02,0.0991,0.9009,2,shockleyi
p_005s_04,0.0547,0.9453,2,shockleyi
p_005s_06,0.1012,0.8988,1,shockleyi
p_005s_07,0.1021,0.8979,2,shockleyi
p_005s_11,0.1036,0.8964,1,shockleyi
p_006s_01,0.1875,0.8124,1,shockleyi
p_006s_04r2,0.0905,0.9095,2,shockleyi
p_006s_06,0.0697,0.9303,1,shockleyi
p_006s_10,0.1509,0.8490,2,shockleyi
p_006s_12,0.1051,0.8950,2,shockleyi
p_006s_14,0.1541,0.8458,1,shockleyi
p_007s_01,0.0828,0.9172,2,shockleyi
p_007s_02,0.0912,0.9088,2,shockleyi
p_007s_04,0.8093,0.1907,2,shockleyi
p_007s_06,0.1012,0.8988,2,shockleyi
p_007s_07,0.3800,0.6200,2,shockleyi
p_007s_09,0.0596,0.9404,2,shockleyi
p_008.5s_02,0.3785,0.6214,2,shockleyi
p_009s_01,0.0748,0.9252,2,shockleyi
p_009s_09,0.1075,0.8926,2,shockleyi
p_009s_12,0.0976,0.9023,2,shockleyi
p_009s_13,0.1305,0.8694,1,shockleyi
p_009s_14,0.0467,0.9534,2,shockleyi
p_009s_15,0.0513,0.9487,1,shockleyi
p_010s_02,0.1676,0.8323,2,shockleyi
p_010s_06,0.1613,0.8388,2,shockleyi
p_010s_11,0.1686,0.8313,2,shockleyi
p_011s_06,0.0655,0.9345,2,shockleyi
p_011s_08,0.0553,0.9446,1,shockleyi
p_011s_10,0.0571,0.9429,1,shockleyi
p_011s_11,0.0538,0.9462,1,shockleyi
p_012s_01,0.1016,0.8983,2,shockleyi
p_012s_06,0.3306,0.6694,1,shockleyi
p_012s_08,0.3186,0.6814,2,shockleyi
p_012s_12,0.3445,0.6555,1,shockleyi
p_012s_14,0.3136,0.6864,2,shockleyi
p_013s_02,0.0206,0.9794,1,shockleyi
p_013s_08,0.0914,0.9086,1,shockleyi
p_013s_12,0.1076,0.8923,2,shockleyi
p_013s_13,0.0174,0.9827,2,shockleyi
p_013s_14,0.1097,0.8903,2,shockleyi
